DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/.DS_Store
DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/.DS_Store
DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/frontend/backups/.DS_Store
DELETED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.DS_Store
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch2_regional_restaurant_dataset_backup_20260319_153741 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch2_regional_restaurant_dataset_backup_20260319_153741
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch2_regional_restaurant_dataset_fix2_backup_20260319_154635 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch2_regional_restaurant_dataset_fix2_backup_20260319_154635
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch4_presets_compatibility_hardening_backup_20260319_162152 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch4_presets_compatibility_hardening_backup_20260319_162152
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch1_schema_foundation_backup_20260319_152318 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch1_schema_foundation_backup_20260319_152318
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch5_onboarding_account_hardening_backup_20260319_162707 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch5_onboarding_account_hardening_backup_20260319_162707
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch3_recommendation_intelligence_backup_20260319_155508 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch3_recommendation_intelligence_backup_20260319_155508
MOVED | /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/backend/.patch4_presets_runtime_fix_backup_20260319_161604 -> /Users/josepablosamano/Desktop/COMP 3663 Soft Eng 2/Recomendations App/context-aware-dining-platform/tools/project_cleanup_archive/20260319_185327/backend/.patch4_presets_runtime_fix_backup_20260319_161604
